date,weekday,target_delta,call_strike,put_strike,actual_call_delta,actual_put_delta,strike_width,entry_gamma,entry_theta,iv,call_entry_price,put_entry_price,straddle_cost,hedge_count,transaction_costs,daily_pnl,first_third_pnl,mid_third_pnl,last_third_pnl,peak_pnl,trough_pnl,peak_time,trough_time,total_minutes
2026-02-04,Wednesday,0.25,615.0,612.0,0.189,-0.27,3.0,29.9645,-9.6421,0.25,0.2075,0.332,53.95,9,3.83,216.25,177.56,16.4,36.36,225.25,-5.07,16:00,14:30,89
2026-02-09,Monday,0.25,607.0,605.0,0.289,-0.326,2.0,35.4175,-11.1293,0.25,0.3572,0.4231,78.03,2,1.6,102.35,60.65,27.65,32.71,117.0,-5.07,15:57,14:30,91
2026-02-11,Wednesday,0.25,619.0,616.0,0.214,-0.244,3.0,29.9738,-9.7799,0.25,0.2454,0.2925,53.79,5,2.4,96.55,108.22,24.07,-19.96,131.31,-5.07,15:27,14:30,91
2026-02-18,Wednesday,0.25,603.0,600.0,0.195,-0.253,3.0,30.2785,-9.3694,0.25,0.2121,0.2983,51.05,4,1.92,165.82,91.73,55.75,35.26,183.19,-8.9,15:57,14:35,91
2026-02-23,Monday,0.25,609.0,606.0,0.207,-0.244,3.0,30.1833,-9.5308,0.25,0.2317,0.2871,51.89,4,2.22,110.77,89.7,16.04,22.25,124.44,-5.07,15:59,14:30,91
2026-02-25,Wednesday,0.25,614.0,611.0,0.203,-0.252,3.0,30.0592,-9.6465,0.25,0.2282,0.3022,53.04,4,2.12,-8.22,26.9,-15.39,-9.12,26.76,-17.84,14:48,15:54,78
2026-03-02,Monday,0.25,601.0,599.0,0.279,-0.333,2.0,35.6411,-10.9761,0.25,0.3372,0.4315,76.87,2,1.64,72.73,80.71,17.37,-11.36,95.03,-5.07,15:13,14:30,63
2026-03-04,Wednesday,0.25,607.0,605.0,0.315,-0.299,2.0,35.4381,-11.1447,0.25,0.4034,0.3754,77.88,8,3.58,133.46,31.87,104.77,11.07,142.84,-6.13,15:24,14:32,76
2026-03-09,Monday,0.25,598.0,594.0,0.232,-0.196,4.0,23.0991,-7.0303,0.25,0.339,0.2742,61.32,10,3.94,233.29,119.15,130.09,-5.3,252.42,-5.84,15:35,13:32,146
2026-03-11,Wednesday,0.25,612.0,608.0,0.238,-0.2,4.0,22.8918,-7.2986,0.25,0.3596,0.2887,64.82,10,3.9,230.62,96.74,108.91,36.95,255.94,-12.8,15:48,13:46,149
